日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-05,津,5,12:33,投票,4,中山雄太,A1,愛知,6.61,49.0,6.78,50.0,22,39.58,71,25.86,51.5,40,
2025-04-05,津,5,12:33,投票,5,土屋智則,A1,群馬,6.98,44.44,6.36,54.55,39,51.28,40,33.33,53.2,40,
2025-04-05,津,5,12:33,投票,6,木下翔太,A1,大阪,6.45,41.13,6.26,42.11,50,35.9,76,38.46,53.6,34,
2025-04-05,津,6,13:03,投票,1,重成一人,A1,香川,6.75,53.08,5.76,29.41,52,58.82,27,29.73,53.8,46,
2025-04-05,津,6,13:03,投票,2,常住蓮,A1,佐賀,6.98,50.78,0.0,0.0,64,18.75,72,62.79,51.0,24,
2025-04-05,津,6,13:03,投票,3,仲谷颯仁,A1,福岡,7.43,52.59,7.05,50.0,35,31.48,67,28.26,51.5,30,
2025-04-05,津,6,13:03,投票,4,有賀達也,A1,埼玉,5.91,44.14,6.91,52.94,65,25.0,36,32.26,52.0,39,
2025-04-05,津,6,13:03,投票,5,杉山裕也,A1,愛知,6.79,47.42,6.72,38.89,73,36.36,35,39.02,52.0,39,
2025-04-05,津,6,13:03,投票,6,菅章哉,A1,徳島,6.88,48.45,6.81,52.38,28,41.18,65,29.79,52.0,36,
2025-04-05,津,7,13:35,投票,1,萩原秀人,A1,福井,7.14,49.57,6.15,45.0,19,34.29,55,48.94,53.1,45,
2025-04-05,津,7,13:35,投票,2,島村隆幸,A1,徳島,6.95,43.48,6.0,40.0,18,28.89,73,36.11,51.5,34,
2025-04-05,津,7,13:35,投票,3,西山貴浩,A1,福岡,7.1,42.86,7.11,33.33,56,31.82,19,43.75,52.6,37,
2025-04-05,津,7,13:35,投票,4,井上一輝,A1,大阪,7.27,51.88,8.05,71.43,31,55.88,12,31.91,52.2,30,
2025-04-05,津,7,13:35,投票,5,前沢丈史,A1,東京,6.57,48.36,0.0,0.0,17,31.71,69,34.55,54.2,39,
2025-04-05,津,7,13:35,投票,6,和田兼輔,A1,兵庫,7.06,52.1,5.67,22.22,59,29.41,14,45.71,52.0,38,
2025-04-05,津,8,14:08,投票,1,稲田浩二,A1,兵庫,7.06,47.71,0.0,0.0,63,50.0,57,28.57,52.0,40,
2025-04-05,津,8,14:08,投票,2,新開航,A1,福岡,7.0,49.49,7.27,72.73,37,45.1,17,42.86,52.0,29,
2025-04-05,津,8,14:08,投票,3,中嶋健一郎,A1,三重,6.81,47.73,6.82,49.12,27,29.27,43,29.82,52.7,35,
2025-04-05,津,8,14:08,投票,4,中島孝平,A1,福井,6.72,43.68,6.58,47.37,45,32.43,52,37.5,52.0,45,
2025-04-05,津,8,14:08,投票,5,佐々木完太,A1,山口,6.57,46.73,0.0,0.0,34,42.11,44,34.62,52.0,28,
2025-04-05,津,8,14:08,投票,6,三嶌誠司,A1,香川,6.8,51.4,5.75,41.67,69,56.76,24,30.95,52.4,56,
2025-04-05,津,9,14:41,投票,1,森高一真,A1,香川,6.51,40.37,7.11,66.67,60,34.09,38,43.59,50.5,46,
2025-04-05,津,9,14:41,投票,2,中山雄太,A1,愛知,6.61,49.0,6.78,50.0,22,39.58,71,25.86,51.5,40,
2025-04-05,津,9,14:41,投票,3,徳増秀樹,A1,静岡,7.2,60.78,0.0,0.0,29,42.22,25,37.14,53.0,50,
2025-04-05,津,9,14:41,投票,4,井口佳典,A1,三重,7.14,50.5,7.92,64.0,11,38.89,23,26.09,52.0,47,
2025-04-05,津,9,14:41,投票,5,末永由楽,A1,岡山,6.48,45.3,5.0,26.32,54,31.25,29,35.29,54.4,38,
2025-04-05,津,9,14:41,投票,6,齊藤仁,A1,東京,6.55,36.72,7.09,63.64,21,32.0,39,44.44,50.5,47,
2025-04-05,津,10,15:16,投票,1,羽野直也,A1,福岡,7.17,43.94,6.0,41.67,74,32.79,56,34.09,55.6,30,
2025-04-05,津,10,15:16,投票,2,山田祐也,A1,徳島,6.52,42.73,6.94,50.0,24,42.5,33,32.69,52.8,35,
2025-04-05,津,10,15:16,投票,3,服部幸男,A1,静岡,6.83,56.73,7.0,61.54,67,29.17,28,36.0,54.7,54,
2025-04-05,津,10,15:16,投票,4,宮地元輝,A1,佐賀,7.09,45.79,7.5,50.0,44,25.81,62,30.43,55.2,38,
2025-04-05,津,10,15:16,投票,5,長田頼宗,A1,東京,6.65,45.16,7.7,63.64,57,23.08,63,28.95,52.2,39,
2025-04-05,津,10,15:16,投票,6,有賀達也,A1,埼玉,5.91,44.14,6.91,52.94,65,25.0,36,32.26,52.0,39,
2025-04-05,津,11,15:52,投票,1,土屋智則,A1,群馬,6.98,44.44,6.36,54.55,39,51.28,40,33.33,53.2,40,
2025-04-05,津,11,15:52,投票,2,佐藤隆太郎,A1,東京,7.25,51.96,6.65,50.0,55,32.43,51,39.29,52.0,30,
2025-04-05,津,11,15:52,投票,3,仲口博崇,A1,愛知,6.63,51.28,5.16,36.0,41,38.0,74,30.77,52.6,52,
2025-04-05,津,11,15:52,投票,4,木村仁紀,A1,滋賀,6.68,45.63,7.1,70.0,25,43.75,32,46.67,53.5,32,
2025-04-05,津,11,15:52,投票,5,菅章哉,A1,徳島,6.88,48.45,6.81,52.38,28,41.18,65,29.79,52.0,36,
2025-04-05,津,11,15:52,投票,6,井上一輝,A1,大阪,7.27,51.88,8.05,71.43,31,55.88,12,31.91,52.2,30,
2025-04-05,津,12,16:30,投票,1,茅原悠紀,A1,岡山,9.0,67.47,6.44,22.22,43,32.65,64,37.04,52.5,37,
2025-04-05,津,12,16:30,投票,2,深谷知博,A1,静岡,6.75,41.12,7.05,40.91,38,28.57,41,36.59,52.0,37,
2025-04-05,津,12,16:30,投票,3,馬場貴也,A1,滋賀,7.29,43.81,6.07,35.71,76,34.21,48,35.0,53.2,41,
2025-04-05,津,12,16:30,投票,4,篠崎元志,A1,福岡,7.02,44.72,5.25,25.0,71,39.22,75,44.83,52.4,39,
2025-04-05,津,12,16:30,投票,5,磯部誠,A1,愛知,7.05,42.73,8.3,56.52,53,26.09,53,30.43,53.3,34,
2025-04-05,津,12,16:30,投票,6,新田雄史,A1,三重,7.69,59.29,7.53,69.23,75,43.75,16,49.12,52.5,40,
2025-04-05,三国,1,08:47,投票,1,木下雄介,A2,滋賀,6.05,41.35,4.63,26.32,26,15.79,65,40.0,52.0,30,
2025-04-05,三国,1,08:47,投票,2,飯島誠,B1,埼玉,4.35,19.75,5.12,29.41,30,25.0,27,36.36,52.9,46,
2025-04-05,三国,1,08:47,投票,3,岩川仁士,B1,大阪,5.04,29.29,4.77,38.46,67,66.67,38,68.18,54.4,38,
2025-04-05,三国,1,08:47,投票,4,佐藤旭,B1,静岡,5.27,29.46,5.12,35.29,25,61.54,49,31.82,52.8,42,
2025-04-05,三国,1,08:47,投票,5,濱崎誠,B2,大阪,5.18,31.15,4.5,21.43,66,38.1,26,30.77,52.0,45,
2025-04-05,三国,1,08:47,投票,6,渡邊雄斗,B2,三重,1.33,0.0,1.25,0.0,16,38.1,21,47.37,51.5,20,
2025-04-05,三国,2,09:13,投票,1,金田智博,A2,福井,5.6,35.45,5.98,45.31,14,15.79,12,40.0,52.0,26,
2025-04-05,三国,2,09:13,投票,2,三角哲男,A1,東京,6.86,54.39,6.89,50.0,54,47.62,17,11.11,52.4,58,
2025-04-05,三国,2,09:13,投票,3,宮嵜隆太郎,B1,福岡,4.47,28.26,0.0,0.0,15,36.84,15,15.0,60.8,51,
2025-04-05,三国,2,09:13,投票,4,渡邊裕貴,B1,静岡,4.51,26.53,2.75,0.0,61,30.0,64,25.0,52.5,39,
2025-04-05,三国,2,09:13,投票,5,澤崎雄哉,B1,東京,5.39,37.5,4.0,11.11,22,42.86,58,17.65,52.5,29,
2025-04-05,三国,2,09:13,投票,6,草川壮良,B2,滋賀,1.82,1.49,1.17,0.0,32,47.37,48,42.86,50.5,20,
2025-04-05,三国,3,09:39,投票,1,大須賀友,A1,愛知,6.69,50.0,0.0,0.0,47,38.89,16,39.13,52.0,38,
2025-04-05,三国,3,09:39,投票,2,籾山佳岳,B1,愛知,5.43,29.73,4.59,18.18,12,38.1,68,63.64,52.5,42,
2025-04-05,三国,3,09:39,投票,3,古場輝義,A2,大阪,5.4,32.84,2.86,14.29,60,30.0,60,15.79,53.2,65,
2025-04-05,三国,3,09:39,投票,4,木田峰由季,B1,福井,5.18,33.33,6.06,42.71,27,57.89,63,33.33,52.8,34,
2025-04-05,三国,3,09:39,投票,5,川上清人,B1,香川,4.38,23.76,3.5,14.29,34,26.32,39,40.91,62.5,45,
2025-04-05,三国,3,09:39,投票,6,有山望,B2,大阪,1.45,0.0,1.5,0.0,55,21.05,30,31.25,52.0,20,
2025-04-05,三国,4,10:05,投票,1,三好勇人,A2,香川,5.72,37.7,0.0,0.0,33,43.48,22,36.84,54.2,41,
