日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,展示タイム,体重,年齢,進入,ST
2025-04-02,戸田,7,13:45,発売終了,2,渥美卓郎,B1,静岡,4.72,27.61,4.0,13.33,32,26.43,51,22.97,,54.0,42,,
2025-04-02,戸田,7,13:45,発売終了,3,中嶋達也,B1,兵庫,4.41,24.55,4.2,26.67,27,36.02,31,30.71,,54.1,37,,
2025-04-02,戸田,7,13:45,発売終了,4,長谷川暖,B1,岡山,2.78,6.49,0.0,0.0,43,32.88,23,32.65,,52.0,20,,
2025-04-02,戸田,7,13:45,発売終了,5,伏田裕隆,B1,東京,4.46,25.93,4.38,30.77,9,36.08,59,26.47,,52.0,42,,
2025-04-02,戸田,7,13:45,発売終了,6,木村浩士,B1,群馬,4.81,27.27,4.84,32.43,26,32.89,49,36.23,,54.5,44,,
2025-04-02,戸田,8,14:16,投票,1,黒野元基,A1,愛知,6.01,41.67,6.37,42.11,13,24.8,42,36.23,,51.5,28,,
2025-04-02,戸田,8,14:16,投票,2,長野壮志郎,A1,福岡,5.48,37.11,6.38,50.0,63,36.55,57,32.39,,55.7,44,,
2025-04-02,戸田,8,14:16,投票,3,吉田彩乃,B1,静岡,4.57,26.67,3.71,25.0,34,25.69,18,42.22,,47.8,24,,
2025-04-02,戸田,8,14:16,投票,4,羽野諒,B1,福岡,4.33,18.68,4.45,20.0,7,36.88,77,27.27,,52.6,28,,
2025-04-02,戸田,8,14:16,投票,5,中嶋世奈,B2,静岡,1.6,1.54,0.0,0.0,14,51.53,60,40.43,,50.2,18,,
2025-04-02,戸田,8,14:16,投票,6,小坂宗司,A2,大阪,5.77,43.75,4.5,30.0,8,35.5,65,35.25,,52.3,44,,
2025-04-02,戸田,9,14:48,投票,1,小山勉,A1,埼玉,6.22,45.74,5.7,33.65,48,39.49,37,29.93,,52.0,38,,
2025-04-02,戸田,9,14:48,投票,2,金児隆太,A2,群馬,5.88,41.18,6.26,50.0,1,30.5,66,24.31,,52.0,37,,
2025-04-02,戸田,9,14:48,投票,3,岩井繁,B1,広島,3.4,9.09,4.0,12.5,25,37.58,75,36.03,,58.4,51,,
2025-04-02,戸田,9,14:48,投票,4,堀之内紀代子,A2,岡山,5.55,40.38,0.0,0.0,31,25.17,63,41.61,,46.0,45,,
2025-04-02,戸田,9,14:48,投票,5,伏見俊介,B1,東京,5.52,37.97,6.71,57.14,15,38.57,70,25.18,,53.9,33,,
2025-04-02,戸田,9,14:48,投票,6,中野希一,A2,埼玉,6.32,49.6,6.43,52.46,30,30.88,32,39.86,,52.3,25,,
2025-04-02,戸田,10,15:21,投票,1,尾嶋一広,A1,兵庫,7.03,54.48,5.88,38.46,28,33.56,26,28.15,,54.3,37,,
2025-04-02,戸田,10,15:21,投票,2,富永修一,A2,福岡,6.03,43.36,6.64,51.52,65,33.56,53,34.78,,52.6,43,,
2025-04-02,戸田,10,15:21,投票,3,山本英志,A2,東京,5.38,35.9,6.81,58.06,37,28.47,55,30.71,,51.4,50,,
2025-04-02,戸田,10,15:21,投票,4,山地正樹,B1,岡山,5.04,29.46,3.67,22.22,20,37.86,64,37.06,,56.3,48,,
2025-04-02,戸田,10,15:21,投票,5,倉田茂将,B1,愛知,4.87,29.63,5.97,46.67,10,37.09,15,45.99,,54.3,26,,
2025-04-02,戸田,10,15:21,投票,6,平見真彦,A2,愛知,6.59,44.78,4.63,8.33,12,45.71,71,39.42,,53.4,36,,
2025-04-02,戸田,11,15:55,投票,1,松村敏,A1,福岡,7.02,56.32,6.89,22.22,64,29.57,12,34.78,,53.1,41,,
2025-04-02,戸田,11,15:55,投票,2,田中豪,A2,東京,6.3,44.44,4.53,25.0,29,33.1,11,21.68,,52.8,52,,
2025-04-02,戸田,11,15:55,投票,3,大豆生田蒼,A2,埼玉,6.16,45.45,6.72,55.81,4,28.85,20,32.35,,47.0,30,,
2025-04-02,戸田,11,15:55,投票,4,小池公生,B1,福岡,5.48,32.67,5.0,28.57,22,37.32,13,28.36,,51.6,37,,
2025-04-02,戸田,11,15:55,投票,5,池田雄祐,A1,愛知,6.68,45.83,5.7,43.48,23,30.5,58,40.58,,51.0,36,,
2025-04-02,戸田,11,15:55,投票,6,高橋勲,B1,東京,5.44,38.57,5.08,33.33,17,22.9,43,29.93,,55.2,57,,
2025-04-02,戸田,12,16:30,投票,1,島田賢人,A1,埼玉,6.24,43.01,7.01,53.85,18,37.04,34,33.81,,52.7,36,,
2025-04-02,戸田,12,16:30,投票,2,伏田裕隆,B1,東京,4.46,25.93,4.38,30.77,9,36.08,59,26.47,,52.0,42,,
2025-04-02,戸田,12,16:30,投票,3,鈴木勝博,A2,愛知,6.55,51.65,6.29,39.29,44,36.42,69,32.33,,52.4,42,,
2025-04-02,戸田,12,16:30,投票,4,西村豪洋,B1,愛知,4.94,24.42,4.74,25.81,6,23.7,24,36.96,,52.8,37,,
2025-04-02,戸田,12,16:30,投票,5,長野壮志郎,A1,福岡,5.48,37.11,6.38,50.0,63,36.55,57,32.39,,55.7,44,,
2025-04-02,戸田,12,16:30,投票,6,野村誠,A2,群馬,6.49,48.53,6.08,37.25,33,35.17,41,38.52,,51.5,38,,
2025-04-02,平和島,1,11:04,発売終了,1,野見山拓己,B1,福岡,4.82,26.03,5.29,42.86,43,29.94,72,33.54,,52.0,30,,
2025-04-02,平和島,1,11:04,発売終了,2,後藤孝義,B2,静岡,3.59,12.24,3.79,17.86,10,32.34,15,43.45,,52.0,56,,
2025-04-02,平和島,1,11:04,発売終了,3,野口勝弘,A1,愛知,6.58,46.07,6.5,52.5,72,38.73,63,34.55,,50.5,38,,
2025-04-02,平和島,1,11:04,発売終了,4,須藤隆雄,B1,群馬,3.82,18.31,4.11,16.67,15,41.82,62,32.73,,54.8,50,,
2025-04-02,平和島,1,11:04,発売終了,5,田代達也,B1,東京,3.63,16.92,4.0,24.14,58,34.88,56,32.08,,52.2,33,,
2025-04-02,平和島,1,11:04,発売終了,6,小坂風太,B1,福井,4.49,19.23,4.5,20.0,20,33.33,60,37.66,,52.7,24,,
