選手登録番,レースID,艇番,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,会場,日付,着,選手名,展示タイム,天候,風向,風量,波,単勝オッズ
3161,202403292411,4,64,大阪,53,A2,5.73,41.73,5.66,34.29,36.13,38.80,24,2024-03-29,05,古場輝義,6.89,晴,南東,1,1,650
3105,202403292411,5,60,東京,53,A2,5.64,35.16,0.00,0.00,23.56,21.74,24,2024-03-29,06,内山文典,6.94,晴,南東,1,1,744
4063,202403292411,6,44,徳島,57,A1,6.72,50.00,6.36,42.86,31.49,36.46,24,2024-03-29,03,市橋卓士,6.91,晴,南東,1,1,720
4347,202403292412,1,38,福岡,44,A1,6.51,43.81,0.00,0.00,30.53,36.70,24,2024-03-29,01,魚谷香織,6.83,晴,東,2,1,100
5195,202403292412,2,22,長崎,44,B1,4.38,22.64,3.03,10.64,42.02,32.81,24,2024-03-29,03,北村寧々,6.83,晴,東,2,1,770
5231,202403292412,3,20,山口,46,B1,4.30,23.00,3.47,23.53,32.61,30.98,24,2024-03-29,04,寺田空詩,6.86,晴,東,2,1,610
4994,202403292412,4,26,佐賀,46,B1,5.66,33.03,5.11,26.32,26.15,34.95,24,2024-03-29,02,山本梨菜,6.83,晴,東,2,1,766
3470,202403292412,5,54,徳島,46,B1,5.33,37.18,5.81,44.68,42.71,29.53,24,2024-03-29,05,新田芳美,6.95,晴,東,2,1,510
3604,202403292412,6,53,福岡,48,B1,4.18,18.75,2.88,8.00,40.66,28.65,24,2024-03-29,06,武藤綾子,6.89,晴,東,2,1,746
3984,202403292401,1,,,,,周46三重55A1,6.24,43.36,4.50,61,65,24,2024-03-29,01,坂口周,6.61,晴,南西,4,4,160
4547,202403292401,2,35,埼玉,52,A1,6.62,36.92,7.50,60.00,32.12,0.00,24,2024-03-29,05,中田竜太,6.64,晴,南西,4,4,180
4239,202403292401,3,40,山口,54,A1,6.92,53.03,7.55,60.00,40.69,11.11,24,2024-03-29,02,竹田辰也,6.63,晴,南西,4,4,640
3744,202403292401,4,49,静岡,52,A1,6.44,44.59,6.62,41.03,33.80,30.00,24,2024-03-29,04,徳増秀樹,6.64,晴,南西,4,4,790
5084,202403292401,5,25,佐賀,52,A1,6.89,48.57,6.86,53.85,34.56,50.00,24,2024-03-29,06,末永和也,6.59,晴,南西,4,4,1110
4959,202403292401,6,28,大阪,54,A1,7.20,56.34,8.17,62.07,30.94,25.00,24,2024-03-29,03,井上忠政,6.55,晴,南西,4,4,450
4075,202403292402,1,42,東京,52,A1,6.46,45.54,7.28,36.00,26.90,0.00,24,2024-03-29,02,中野次郎,6.66,晴,南,4,4,430
3779,202403292402,2,48,長崎,54,A1,6.96,46.09,6.44,27.78,38.76,40.00,24,2024-03-29,03,原田幸哉,6.62,晴,南,4,4,770
4504,202403292402,3,36,福岡,55,A1,7.45,52.71,6.79,50.94,30.23,0.00,24,2024-03-29,06,前田将太,6.62,晴,南,4,4,400
4503,202403292402,4,36,佐賀,52,A1,8.25,70.15,7.71,63.53,40.30,42.86,24,2024-03-29,04,上野真之介,6.65,晴,南,4,4,500
4932,202403292402,5,,,,,航28福岡52A1,6.89,46.00,7.62,41,66,24,2024-03-29,01,新開航,6.63,晴,南,4,4,1330
4337,202403292402,6,39,愛知,55,A1,6.91,43.33,6.65,38.46,37.59,36.36,24,2024-03-29,05,平本真之,6.74,晴,南,4,4,1180
4808,202403292403,1,,,,,拓35三重50A1,6.09,41.89,5.34,12,64,24,2024-03-29,01,松尾拓,6.63,晴,南,5,5,430
3716,202403292403,2,49,東京,54,A1,7.02,47.97,5.44,22.22,31.58,22.22,24,2024-03-29,04,石渡鉄兵,6.62,晴,南,5,5,240
